OTU	Lucas0198	Classification
Otu5047	1	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast);Charophyta (Chloroplast);Phragmoplastophyta (Chloroplast);Streptophyta (Chloroplast);Embryophyta (Chloroplast);Tracheophyta (Chloroplast);Spermatophyta (Chloroplast);Magnoliophyta (Chloroplast);Fabales (Chloroplast);Medicago (Chloroplast) (Fabales (Chloroplast))
Otu5044	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Glissomonadida
Otu5045	2	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Isosphaerales;Isosphaeraceae
Otu5042	1	No hits
Otu5043	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Spencermartinsiella;Spencermartinsiella europaea
Otu5040	5	Main genome;Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Conthreep;Colpodea;Colpodida;Hausmanniella;Unknown Hausmanniella strain 1
Otu5041	1	No hits
Otu10151	1	No hits
Otu10150	1	No hits
Otu10153	1	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast);Charophyta (Chloroplast);Phragmoplastophyta (Chloroplast);Streptophyta (Chloroplast);Embryophyta (Chloroplast);Tracheophyta (Chloroplast);Spermatophyta (Chloroplast);Unknown Spermatophyta (Chloroplast) strain 44
Otu10152	1	Main genome;Eukaryota;Amoebozoa;Discosea;Flabellinia;Vannellida
Otu1208	1	No hits
Otu1209	2	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa
Otu10157	1	No hits
Otu10156	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Cercomonadidae
Otu1204	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Imbricatea;Silicofilosea;Unknown Silicofilosea family 13
Otu1205	1	No hits
Otu1206	1	No hits
Otu1207	1	Main genome;Eukaryota;SAR;Stramenopiles;Peronosporomycetes;Pythium
Otu1200	3	Main genome;Eukaryota;Amoebozoa;Discosea;Flabellinia;Vannellida;Protosteliopsis
Otu1201	5	No hits
Otu1202	3	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Pezizomycetes;Pezizales;Unknown Pezizales strain 1
Otu1203	21	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Cercomonadidae;Cercomonas
